Date,Ticker,Volume,StockChange,Target,Daily_Volatility,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2023-01-03,AAPL,112117500,-0.0399907824170212,1,0.0516579351442898,0.0001,0.762,0.2379,3,-0.7619,0.0001,0.7621
2023-01-06,AAPL,87754700,0.0286484637707904,1,0.0428536926032778,0.0,0.0,1.0,1,-0.0,0.0135,0.0
2023-01-12,AAPL,71379600,-0.0035106155031479,1,0.0210635790452659,0.0,0.0,1.0,1,-0.0,0.1739,0.0
2023-01-23,AAPL,81760300,0.0216478829920836,1,0.0392413381070264,0.0,0.0001,0.9999,1,-0.0001,0.0028,0.0001
2023-01-24,AAPL,66435100,0.0158221171643599,-1,0.0203834413806273,0.0,0.0,1.0,1,0.0,0.7683,0.0
2023-01-30,AAPL,64015300,-0.0135210169915072,1,0.0186258058994964,0.0006,0.0,0.9994,1,0.0006,0.9955,0.0006
2023-01-31,AAPL,65874500,0.0111422310574213,1,0.0144358626674737,0.9999,0.0,0.0001,1,0.9999,1.0,0.9999
2023-02-02,AAPL,118339000,0.0128946508155612,1,0.0202148732721137,0.5,0.5,0.0,2,-0.0,0.5,1.0
2023-02-06,AAPL,69858300,-0.005505745273346,1,0.0152061821645497,0.0,0.0,1.0,1,-0.0,0.0735,0.0
2023-02-08,AAPL,64120100,-0.0127372410428492,-1,0.0221601478678548,1.0,0.0,0.0,1,1.0,1.0,1.0
2023-02-09,AAPL,56007100,-0.0189231609130505,1,0.0254259571670368,0.0,1.0,0.0,1,-1.0,0.0,1.0
2023-02-10,AAPL,57450700,0.0103705855970963,1,0.014184363856253,0.0029,0.0003,0.9968,1,0.0026,0.9019,0.0032
2023-02-28,AAPL,50547000,0.0024481509886459,-1,0.0153009177375403,0.5,0.5,0.0,2,0.0,0.5,1.0
2023-03-08,AAPL,47204800,0.0003926284899699,-1,0.0107322780960035,1.0,0.0,0.0,1,1.0,1.0,1.0
2023-03-09,AAPL,53833600,-0.0193409824688873,-1,0.0280671895488222,0.0,0.0,1.0,1,-0.0,0.0124,0.0
2023-03-17,AAPL,98944600,-0.0069195400972874,1,0.0157611909598128,0.0006,0.9975,0.0019,1,-0.9968,0.0006,0.9981
2023-03-21,AAPL,73938300,0.0124586280436587,-1,0.0181795097711725,0.0,0.9726,0.0274,1,-0.9725,0.0,0.9726
2023-03-22,AAPL,75701800,-0.0092278794258749,1,0.0271814296804993,0.0,0.0,1.0,1,0.0,0.8812,0.0
2023-03-24,AAPL,59196500,0.0087498387530402,-1,0.0156741169885955,1.0,0.0,0.0,1,1.0,1.0,1.0
2023-03-27,AAPL,52390300,-0.0103789148228724,-1,0.0181318563899349,0.0,0.0001,0.9999,1,-0.0001,0.0727,0.0001
2023-04-03,AAPL,56976200,0.0115662862791005,-1,0.0126011567029386,0.0,0.9999,0.0001,1,-0.9999,0.0,0.9999
2023-04-05,AAPL,51511700,-0.0059488342457825,1,0.0197280556733674,1.0,0.0,0.0,1,1.0,1.0,1.0
2023-04-06,AAPL,45390100,0.0137290592063211,-1,0.0182232767797725,0.002,0.0293,0.9686,1,-0.0273,0.0651,0.0314
2023-04-17,AAPL,41516200,0.0008480186125991,1,0.0082379347054321,0.0025,0.0791,0.9184,1,-0.0765,0.0309,0.0816
2023-04-28,AAPL,55275900,0.0070626573910668,-1,0.0116920954150185,1.0,0.0,0.0,1,1.0,1.0,1.0
2023-05-09,AAPL,45326900,-0.0073966989698002,1,0.011210558499886,0.0018,0.0075,0.9907,1,-0.0057,0.1931,0.0093
2023-05-11,AAPL,49514700,-0.0005752436008318,-1,0.0139200349955947,0.0001,0.0,0.9999,1,0.0001,0.9098,0.0001
2023-05-26,AAPL,54835000,0.012173928354477,1,0.0153473548909646,0.0,0.0,1.0,1,-0.0,0.0045,0.0
2023-06-02,AAPL,61996900,-0.0004419258222071,-1,0.0139203683889607,0.0,0.0,1.0,1,-0.0,0.0385,0.0
2023-06-06,AAPL,64848400,-0.004222895491921,-1,0.0149469490646245,0.0,0.9763,0.0237,1,-0.9763,0.0,0.9763
2023-06-07,AAPL,61944600,-0.0034745298627256,1,0.0218000411142437,0.4998,0.2878,0.2124,2,0.2119,0.6346,0.7876
2023-06-08,AAPL,50214900,0.0150085076972402,1,0.0189993802135269,0.0002,0.0,0.9998,1,0.0002,0.9217,0.0002
2023-06-12,AAPL,54274900,0.0139018533363311,-1,0.0161085568495731,1.0,0.0,0.0,1,1.0,1.0,1.0
2023-06-14,AAPL,57462900,0.003163013832683,1,0.0129246615056781,0.0001,0.0,0.9999,1,0.0001,0.87,0.0001
2023-06-22,AAPL,51245300,0.0177424317479799,-1,0.018395584966597,0.0489,0.0012,0.9498,1,0.0477,0.9754,0.0502
2023-06-23,AAPL,53117000,0.0060899466744186,-1,0.0137429426559831,0.0003,0.0568,0.9429,2,-0.0565,0.0051,0.0571
