Date,Ticker,Target,Volume,Daily_Volatility,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index,Score_Net_Lag1,Score_Net_Lag2,Score_Net_Lag3,Score_Net_Lag5,Volume_Messages_Lag1,Volume_Messages_Lag2,Volume_Messages_Lag3,Volume_Messages_Lag5,Volume_Lag1,Volume_Lag2,Volume_Lag3,Volume_Lag5,Polarite_Index_Lag1,Polarite_Index_Lag2,Polarite_Index_Lag3,Polarite_Index_Lag5,Bullishness_Index_Lag1,Bullishness_Index_Lag2,Bullishness_Index_Lag3,Bullishness_Index_Lag5,Volatility_20d,Volume_Avg20d
2023-01-03,AAPL,0,112117500,0.0516579351442898,0.0001,0.762,0.2379,3,-0.7619,0.0001,0.7621,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,AMZN,1,76706000,0.0321787974427869,0.0001,0.0175,0.9824,1,-0.0174,0.0061,0.0176,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,BRK-B,0,3549900,0.0161576729360553,0.0,0.0,1.0,1,-0.0,0.0303,0.0,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,META,1,35528500,0.0333007977320284,1.0,0.0,0.0,1,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
2023-01-03,TSLA,0,231402800,0.1195239597890275,0.4997,0.0001,0.5003,2,0.4996,0.9998,0.4997,,,,,,,,,,,,,,,,,,,,,,
2023-01-04,META,0,32397100,0.0251217196313049,0.4966,0.0174,0.4859,2,0.4792,0.9661,0.5141,1.0,,,,1.0,,,,35528500.0,,,,1.0,,,,1.0,,,,,
2023-01-04,MSFT,0,50623400,0.0297485295317477,0.0,0.9999,0.0001,1,-0.9999,0.0,0.9999,,,,,,,,,,,,,,,,,,,,,,
2023-01-05,TSLA,0,157986300,0.0415346688006786,0.0002,0.0045,0.9952,1,-0.0043,0.0455,0.0048,0.4996,,,,2.0,,,,231402800.0,,,,0.4997,,,,0.9998,,,,,
2023-01-06,AAPL,1,87754700,0.0428536926032778,0.0,0.0,1.0,1,-0.0,0.0135,0.0,-0.7619,,,,3.0,,,,112117500.0,,,,0.7621,,,,0.0001,,,,,
2023-01-06,META,1,27584500,0.0332635564466341,0.0,0.8654,0.1346,1,-0.8654,0.0,0.8654,0.4792,1.0,,,2.0,1.0,,,32397100.0,35528500.0,,,0.5141,1.0,,,0.9661,1.0,,,,
2023-01-06,TSLA,1,220911100,0.1221359401073269,0.0,0.0018,0.9982,1,-0.0018,0.0061,0.0018,-0.0043,0.4996,,,1.0,2.0,,,157986300.0,231402800.0,,,0.0048,0.4997,,,0.0455,0.9998,,,,
2023-01-09,META,0,26649100,0.027981077054556,0.9956,0.0,0.0044,1,0.9956,1.0,0.9956,-0.8654,0.4792,1.0,,1.0,2.0,1.0,,27584500.0,32397100.0,35528500.0,,0.8654,0.5141,1.0,,0.0,0.9661,1.0,,,
2023-01-09,TSLA,1,190284000,0.0538836254375149,0.8383,0.0463,0.1155,1,0.792,0.9477,0.8845,-0.0018,-0.0043,0.4996,,1.0,1.0,2.0,,220911100.0,157986300.0,231402800.0,,0.0018,0.0048,0.4997,,0.0061,0.0455,0.9998,,,
