Date,Ticker,FinBERT_Positive,FinBERT_Negative,FinBERT_Neutral,Volume_Messages,Score_Net,Bullishness_Index,Polarite_Index
2023-01-01,BRK-B,0.9986,0.0,0.0014,1,0.9986,1.0,0.9986
2023-01-01,META,0.9999,0.0,0.0,1,0.9999,1.0,1.0
2023-01-02,AAPL,0.0019,0.0002,0.9979,1,0.0017,0.9052,0.0021
2023-01-02,BRK-B,0.0019,0.0002,0.9979,1,0.0017,0.9052,0.0021
2023-01-02,TSLA,0.0,1.0,0.0,1,-1.0,0.0,1.0
2023-01-03,AAPL,0.0001,0.762,0.2379,3,-0.7619,0.0001,0.7621
2023-01-03,AMZN,0.0001,0.0175,0.9824,1,-0.0174,0.0061,0.0176
2023-01-03,BRK-B,0.0,0.0,1.0,1,-0.0,0.0303,0.0
2023-01-03,META,1.0,0.0,0.0,1,1.0,1.0,1.0
2023-01-03,TSLA,0.4997,0.0001,0.5003,2,0.4996,0.9998,0.4997
2023-01-04,META,0.4966,0.0174,0.4859,2,0.4792,0.9661,0.5141
2023-01-04,MSFT,0.0,0.9999,0.0001,1,-0.9999,0.0,0.9999
2023-01-05,TSLA,0.0002,0.0045,0.9952,1,-0.0043,0.0455,0.0048
2023-01-06,AAPL,0.0,0.0,1.0,1,-0.0,0.0135,0.0
2023-01-06,META,0.0,0.8654,0.1346,1,-0.8654,0.0,0.8654
2023-01-06,TSLA,0.0,0.0018,0.9982,1,-0.0018,0.0061,0.0018
2023-01-08,AAPL,0.0,0.0001,0.9999,1,-0.0001,0.0202,0.0001
2023-01-09,META,0.9956,0.0,0.0044,1,0.9956,1.0,0.9956
2023-01-09,TSLA,0.8383,0.0463,0.1155,1,0.792,0.9477,0.8845
2023-01-10,AMZN,0.5,0.0,0.5,2,0.5,1.0,0.5
2023-01-10,JPM,0.0034,0.0001,0.9966,2,0.0033,0.9827,0.0034
2023-01-10,META,0.0004,0.0,0.9996,1,0.0004,0.9612,0.0004
2023-01-11,JPM,0.0004,0.9995,0.0001,1,-0.9991,0.0004,0.9999
