Cible,Features,Modele,AUC_moy,AUC_std,plis
SÉANCE (Open->Close),sentiment seul,logistique,0.5044,0.0199,4
SÉANCE (Open->Close),sentiment seul,boosting,0.5045,0.0292,4
SÉANCE (Open->Close),tout,logistique,0.5112,0.0284,4
SÉANCE (Open->Close),tout,boosting,0.4925,0.0346,4
SÉANCE (Open->Close),marché seul,logistique,0.5215,0.0581,4
SÉANCE (Open->Close),marché seul,boosting,0.4898,0.0461,4
GAP (contrôle positif),sentiment seul,logistique,0.7587,0.0477,4
GAP (contrôle positif),sentiment seul,boosting,0.7607,0.0478,4
GAP (contrôle positif),tout,logistique,0.7604,0.0508,4
GAP (contrôle positif),tout,boosting,0.7592,0.0585,4
GAP (contrôle positif),marché seul,logistique,0.4979,0.0289,4
GAP (contrôle positif),marché seul,boosting,0.4968,0.0477,4
