coupure_h,heure,n_messages,n_lignes,msg_par_nuit,rho_gap_brut,rho_gap_intra,rho_seance_intra,gain_rho
-6.0,18h00,641715,2735,234.4,0.1374,0.1395,-0.0528,
-4.0,20h00,835953,2735,305.3,0.183,0.1871,-0.0425,0.0476
-2.0,22h00,977640,2735,357.1,0.2048,0.2103,-0.0411,0.0232
0.0,minuit,1090127,2735,398.1,0.2165,0.2236,-0.0416,0.0133
1.0,01h00,1129551,2735,412.5,0.2194,0.2268,-0.0407,0.0032
2.0,02h00,1158905,2735,423.3,0.225,0.2328,-0.0407,0.006
3.0,03h00,1186331,2735,433.3,0.2286,0.2365,-0.0423,0.0037
4.0,04h00,1211240,2735,442.4,0.2361,0.2448,-0.0424,0.0083
5.0,05h00,1252756,2735,457.5,0.2479,0.2573,-0.0419,0.0125
6.0,06h00,1293554,2735,472.4,0.2558,0.2661,-0.0404,0.0088
7.0,07h00,1349745,2735,493.0,0.2731,0.285,-0.0384,0.0189
8.0,08h00,1454143,2736,530.9,0.2892,0.3016,-0.0327,0.0166
9.0,09h00,1604853,2736,585.9,0.3149,0.3291,-0.033,0.0275
9.5,09h30,1708692,2736,623.8,0.3317,0.3467,-0.0339,0.0176
