Cible,Ticker,n,rho,IC95,signif
gap,AAPL,548,0.3579,[+0.264 ; +0.426],OUI
gap,AMZN,548,0.2561,[+0.171 ; +0.346],OUI
gap,META,548,0.2143,[+0.151 ; +0.262],OUI
gap,NVDA,547,0.1853,[+0.105 ; +0.243],OUI
gap,TSLA,545,0.3018,[+0.194 ; +0.381],OUI
ret_oc,AAPL,548,-0.0807,[-0.149 ; -0.005],OUI
ret_oc,AMZN,548,-0.0113,[-0.108 ; +0.077],non
ret_oc,META,548,0.0399,[-0.028 ; +0.125],non
ret_oc,NVDA,547,-0.0162,[-0.079 ; +0.048],non
ret_oc,TSLA,545,0.0175,[-0.041 ; +0.082],non
ret_cc,AAPL,548,0.1791,[+0.092 ; +0.243],OUI
ret_cc,AMZN,548,0.1609,[+0.081 ; +0.228],OUI
ret_cc,META,548,0.1769,[+0.113 ; +0.241],OUI
ret_cc,NVDA,547,0.096,[+0.028 ; +0.156],OUI
ret_cc,TSLA,545,0.2055,[+0.120 ; +0.293],OUI
