Cible,Features,Modele,AUC_moy,AUC_std,plis
SÉANCE (Open->Close),sentiment seul,logistique,0.4929,0.0246,4
SÉANCE (Open->Close),sentiment seul,boosting,0.5169,0.0275,4
SÉANCE (Open->Close),tout,logistique,0.5187,0.031,4
SÉANCE (Open->Close),tout,boosting,0.4876,0.0435,4
SÉANCE (Open->Close),marché seul,logistique,0.5216,0.0582,4
SÉANCE (Open->Close),marché seul,boosting,0.4866,0.0378,4
GAP (contrôle positif),sentiment seul,logistique,0.6712,0.019,4
GAP (contrôle positif),sentiment seul,boosting,0.6635,0.0171,4
GAP (contrôle positif),tout,logistique,0.6642,0.0237,4
GAP (contrôle positif),tout,boosting,0.6719,0.0294,4
GAP (contrôle positif),marché seul,logistique,0.4979,0.029,4
GAP (contrôle positif),marché seul,boosting,0.5051,0.0577,4
