Cible,Fenêtre,rho,p_value,n
gap,mu_overnight,0.101,1.21e-07,2735
gap,mu_pre,0.1816,1.04e-21,2734
gap,mu_night_full,0.1651,3.58e-18,2736
gap,mu_open30,0.0623,1.13e-03,2727
gap,mu_mkt,0.0672,4.35e-04,2736
gap,mu_post,0.0626,1.05e-03,2733
ret_oc,mu_overnight,-0.0296,1.22e-01,2735
ret_oc,mu_pre,0.0128,5.04e-01,2734
ret_oc,mu_night_full,-0.01,6.03e-01,2736
ret_oc,mu_open30,0.1021,9.15e-08,2727
ret_oc,mu_mkt,0.2081,3.84e-28,2736
ret_oc,mu_post,0.1699,3.72e-19,2733
ret_cc,mu_overnight,0.0426,2.58e-02,2735
ret_cc,mu_pre,0.1265,3.17e-11,2734
ret_cc,mu_night_full,0.0986,2.36e-07,2736
ret_cc,mu_open30,0.1186,5.27e-10,2727
ret_cc,mu_mkt,0.2025,1.05e-26,2736
ret_cc,mu_post,0.1703,3.10e-19,2733
